,Player,Goals_21,ixG_21
685,Michael Stone,1,0.49
686,Kyle Clifford,1,1.85
687,Matt Irwin,1,0.57
688,Greg McKegg,2,2.76
689,Tyler Pitlick,1,3.3
690,Brett Ritchie,3,4.81
691,Derrick Pouliot,0,0.5
692,Slater Koekkoek,0,0.33
693,Kyle Burroughs,1,1.52
694,John Hayden,2,5.79
695,Haydn Fleury,2,1.75
696,Sammy Blais,0,1.8
697,Colton White,0,1.0
698,Sami Niku,0,0.21
699,Philippe Myers,1,1.25
700,Drake Caggiula,2,1.52
701,Axel Jonsson-Fjallby,2,2.18
702,Gabriel Vilardi,3,2.91
703,Marian Studenic,2,4.65
704,Mark Kastelic,2,1.42
705,Ryan Merkley,1,0.87
706,Calen Addison,2,0.68
707,Nathan Smith,2,1.56
708,Jesse Ylonen,2,1.2
709,Nolan Foote,3,1.29
710,Ronnie Attard,2,0.87
711,Ville Heinola,0,0.79
712,Lassi Thomson,0,0.24
713,Thomas Harley,1,1.79
714,Arttu Ruotsalainen,2,1.61
715,Matias Maccelli,1,1.61
716,Thomas Bordeleau,0,1.16
717,Nate Thompson,1,1.96
718,Mark Borowiecki,0,1.65
719,Kevin Connauton,1,1.34
720,Justin Dowling,1,1.18
721,Nick Seeler,1,1.27
722,Logan Shaw,1,1.25
723,Josh Leivo,1,1.28
724,Nathan Beaulieu,0,0.85
725,Matt Tennyson,0,0.19
726,Ryan Murray,0,1.01
727,Jujhar Khaira,3,2.75
728,Liam O'Brien,2,3.84
729,Jayson Megna,0,1.73
730,Hayden Hodgson,1,1.49
731,Thomas Novak,0,1.77
732,Tanner Kero,0,1.23
733,Jalen Chatfield,0,1.26
734,Adam Brooks,2,1.46
735,Dennis Cholowski,0,0.52
736,Troy Stecher,1,1.65
737,Jonah Gadjovich,1,4.59
738,Urho Vaakanainen,0,0.73
739,Kristian Vesalainen,2,2.83
740,Jack Studnicka,0,1.41
741,Robin Salo,1,0.49
742,Jacob Bryson,0,1.15
743,Carson Meyer,1,1.19
744,Jack McBain,2,1.38
745,Kevin Bahl,1,0.53
746,Jan Jenik,2,1.92
747,Bobby Brink,0,1.81
748,Philip Broberg,1,1.04
749,Vladislav Kolyachonok,1,1.07
