"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"742","Casey Mittelstadt","BUF","C","41","515.9","5","6","3","3","11","68.75","45","11.11","3.68","71","59","38","19","2","2","8","4","4","0","0","4","12","18","9","25","10","157","178","46.87"
"809","Oliver Wahlstrom","NYI","R","44","457.96666666667","8","3","2","1","11","73.33","68","11.76","6.34","135","97","73","30","5","7","19","8","7","1","0","11","7","11","56","56","14","5","7","41.67"
"811","Philipp Kurashev","CHI","C","53","604.35","6","5","2","3","11","55.00","52","11.54","5.4","84","68","62","27","1","7","10","5","5","0","0","7","14","17","29","68","17","91","129","41.36"
"869","Trevor Zegras","ANA","C","24","298.35","3","8","6","2","11","61.11","38","7.89","3.02","68","54","31","14","0","5","10","5","5","0","0","4","8","6","6","17","4","35","48","42.17"
"1","Zdeno Chara","WSH","D","55","810.7","2","8","4","4","10","28.57","63","3.17","1.85","139","89","33","0","2","7","42","13","10","2","1","5","24","9","79","29","45","0","0","-"
"10","Ryan Suter","MIN","D","56","950.28333333333","2","8","4","4","10","20.41","58","3.45","2","145","87","39","4","1","9","10","5","5","0","0","3","12","7","34","26","52","0","0","-"
"65","Cal Clutterbuck","NYI","R","50","559.55","3","7","6","1","10","55.56","43","6.98","4.11","78","60","56","22","4","2","8","4","4","0","0","6","11","12","178","72","18","0","0","-"
"91","Brendan Smith","NYR","D","48","703.48333333333","5","5","3","2","10","25.00","54","9.26","2.75","110","74","25","6","1","4","71","24","18","5","1","24","22","7","79","71","35","0","0","-"
"93","Colton Sceviour","PIT","C, R","46","375.58333333333","5","5","3","2","10","71.43","49","10.20","3.81","72","58","40","18","3","4","2","1","1","0","0","2","5","6","64","49","24","4","10","28.57"
"101","Ryan McDonagh","T.B","D","50","877.83333333333","4","6","4","2","10","29.41","75","5.33","4.08","146","103","45","11","5","9","14","7","7","0","0","3","15","8","58","39","67","0","0","-"
